bus,jan-09,feb-09,mar-09,apr-09,may-09,jun-09,jul-09,aug-09,sep-09,oct-09,nov-09,dec-09,jan-10,feb-10,mar-10,apr-10,may-10,jun-10,jul-10,aug-10,sep-10,oct-10,nov-10,dec-10,jan-11,feb-11,mar-11,apr-11,may-11,jun-11,jul-11,aug-11,sep-11,oct-11,nov-11,dec-11,jan-12,feb-12,mar-12,apr-12,may-12,jun-12,jul-12,aug-12,sep-12,oct-12,nov-12,dec-12,jan-13,feb-13,mar-13,apr-13,may-13,jun-13,jul-13,aug-13,sep-13,oct-13,nov-13,dec-13,jan-14,feb-14,mar-14,apr-14,may-14,jun-14,jul-14,aug-14,sep-14,oct-14,nov-14,dec-14
124,23142,21040,24574,23584,23860,24266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,131698,120301,141464,133518,134311,131488,125438,125006,125761,132360,121302,119566,117224,115323,135469,128171,126802,121850,117499,120345,120994,118981,119550,106825,117790,114467,130298,122882,124971,122150,121608,126780,131518,133391,123693,122016,129079,126793,134665,119805,131249,121764,122032,132500,133076,152981,134397,123851,131637,130384,139274,136180,141264,125971,154933,161751,165366,177036,154825,150574,162385,152372,167607,161414,162980,150202,154475,158166,162793,169804,145026,140955
126,4074,4340,5126,4906,4380,4158,4485,4137,5229,4972,4440,4144,3820,4520,5313,4884,4680,4906,3822,3916,4284,3927,4137,3892,3927,4080,5267,4074,4830,4488,3860,4784,5103,4830,4641,4284,4641,5250,6182,5040,5500,4762,4578,5221,4902,6141,4767,3800,4730,4720,5019,4884,5192,4140,4488,4312,4780,5543,4720,4440,5060,4840,5208,5434,5397,4704,4862,4830,5166,6279,4807,4314
127,16002,14860,17556,15906,15640,16038,15617,14175,14973,15598,13740,13915,12600,13460,15456,14432,13680,14938,13335,14058,14595,14280,14679,13559,12873,12500,15318,13986,14091,14784,14320,17411,18081,17178,18039,16128,18123,18543,19360,17304,19646,17281,16674,18078,17936,23000,19362,17170,21692,20900,21609,22110,23320,17010,17292,18128,19100,22057,19000,18631,18854,19120,21231,21406,21588,18438,17732,18228,21231,22609,17480,17232
128,27386,26580,31257,28024,27451,26607,27408,26071,29371,28685,24031,22630,22811,25102,27174,25109,22627,20812,20090,23455,27168,24632,23192,20030,25604,24224,29460,24169,24320,22922,21055,28482,28237,27614,26460,22584,27445,28128,29585,25090,26769,23189,23260,27331,27374,31858,25946,22251,27155,27393,26951,29225,28221,21881,31680,35090,37080,40595,32320,30321,35728,33040,33075,34078,31626,28707,31328,31689,36015,38065,29260,29288
130,74065,71792,78934,75947,75023,72669,78125,74719,80149,81886,72820,70748,66986,72758,85163,78339,77692,77060,74301,78937,84660,78667,72210,63347,71696,69885,81790,81279,83933,76881,73139,77266,81279,80167,74249,70470,75793,75318,79867,79867,85247,72548,79729,85483,81998,93848,83243,72942,77987,78580,86529,83615,85096,77239,104328,107197,108734,115985,100490,95694,102365,95960,103127,103248,100165,94340,99969,97536,102746,106826,88525,83306
150,302297,284708,319251,304204,311901,297970,310482,310390,315782,327659,300964,291971,278410,281488,327002,310062,320241,313162,317087,325675,325912,333453,308368,301124,322466,310060,354872,352742,360829,344604,341503,345151,348901,353567,319729,314435,320450,321282,346105,326971,346871,328471,330819,340623,337393,354719,318533,303510,313461,302272,339819,329666,337576,317181,321692,329345,319682,332289,302335,291101,305955,290036,322393,314162,319501,294904,305527,312276,307957,321475,292981,281702
152,333634,319688,373354,350288,356329,351434,329859,328370,343542,364620,335356,319635,300237,306388,360634,341746,345687,340594,326446,335023,334791,346565,324638,313530,326692,318284,370552,350216,361792,352346,326030,356881,356173,364688,338677,331640,342738,345908,367106,346903,378638,346483,334519,358435,339637,383851,338407,315415,340753,327452,352495,360356,368314,325614,340416,351734,346556,374401,331350,325436,338007,317836,352177,352194,357111,312942,327536,335320,331434,353364,297464,307669
154,18543,18580,20900,20218,18740,19228,19067,18375,20349,21384,18860,18109,15860,18280,21344,20790,19460,19976,18795,20768,21924,22134,20559,19220,21105,21820,25001,23184,24150,23012,20700,23069,25053,24738,24255,21525,22911,24717,26290,25221,27940,23693,22785,27439,24434,30176,25599,21610,24618,25540,26355,27500,27632,23370,25146,26928,27120,30682,24520,23698,25454,25520,27615,28292,26649,22701,22770,23604,25200,27899,21983,22030
155,12369,11860,13860,13244,12020,12958,14122,12831,12285,12848,11720,11984,11440,11780,13754,12430,11800,13420,12747,13244,12516,12873,12243,12015,11865,11580,13455,12306,12180,12980,42033,45401,44783,45033,42854,41902,40906,39877,45117,42128,48093,46153,47607,49504,45896,51160,45366,43035,46737,43972,48091,47606,48882,47235,50613,52228,48636,55076,48110,46849,49767,46696,50485,51420,50754,47991,50195,50540,49156,54460,45789,46993
